dteday,instant,season,year,month,hour,holiday,weekday,workingday,weathersit,temp,atemp,humidity,windspeed,casual,registered,count
2011-04-01,2068,2,0,4,0,0,5,1,3,0.26,0.2576,1.0,0.1642,0,6,6
2011-04-01,2069,2,0,4,1,0,5,1,3,0.26,0.2576,1.0,0.1642,0,4,4
2011-04-01,2070,2,0,4,2,0,5,1,3,0.26,0.2576,0.93,0.194,0,7,7
2011-04-01,2071,2,0,4,3,0,5,1,2,0.24,0.2273,0.93,0.2537,0,4,4
2011-04-01,2072,2,0,4,4,0,5,1,2,0.24,0.2273,0.93,0.2537,0,3,3
2011-04-01,2073,2,0,4,5,0,5,1,3,0.24,0.2273,0.93,0.2239,1,11,12
2011-04-01,2074,2,0,4,6,0,5,1,3,0.24,0.2273,0.93,0.2239,2,26,28
2011-04-01,2075,2,0,4,7,0,5,1,3,0.24,0.2424,0.93,0.0,4,91,95
2011-04-01,2076,2,0,4,8,0,5,1,2,0.26,0.2424,0.87,0.2537,8,198,206
2011-04-01,2077,2,0,4,9,0,5,1,1,0.32,0.2879,0.7,0.3582,11,162,173
2011-04-01,2078,2,0,4,10,0,5,1,1,0.32,0.303,0.66,0.2836,12,63,75
2011-04-01,2079,2,0,4,11,0,5,1,1,0.32,0.2879,0.61,0.3582,17,72,89
2011-04-01,2080,2,0,4,12,0,5,1,1,0.34,0.303,0.53,0.3582,15,80,95
2011-04-01,2081,2,0,4,13,0,5,1,1,0.36,0.3333,0.5,0.3582,18,92,110
2011-04-01,2082,2,0,4,14,0,5,1,2,0.36,0.3333,0.46,0.3582,26,61,87
2011-04-01,2083,2,0,4,15,0,5,1,1,0.34,0.303,0.46,0.4179,30,81,111
2011-04-01,2084,2,0,4,16,0,5,1,1,0.34,0.303,0.46,0.4179,42,125,167
2011-04-01,2085,2,0,4,17,0,5,1,1,0.34,0.303,0.46,0.3284,36,245,281
2011-04-01,2086,2,0,4,18,0,5,1,1,0.34,0.303,0.46,0.3284,36,205,241
2011-04-01,2087,2,0,4,19,0,5,1,1,0.34,0.303,0.49,0.3284,16,120,136
2011-04-01,2088,2,0,4,20,0,5,1,1,0.32,0.3182,0.53,0.194,2,75,77
2011-04-01,2089,2,0,4,21,0,5,1,1,0.32,0.3333,0.53,0.1343,9,84,93
2011-04-01,2090,2,0,4,22,0,5,1,1,0.3,0.303,0.56,0.1642,10,64,74
2011-04-01,2091,2,0,4,23,0,5,1,1,0.3,0.3182,0.61,0.0896,12,41,53
2011-04-02,2092,2,0,4,0,0,6,0,2,0.3,0.3333,0.61,0.0,3,29,32
2011-04-02,2093,2,0,4,1,0,6,0,1,0.26,0.2727,0.65,0.1343,4,28,32
